"business_id","Score","date","type"
10,,"20140807","Reinspection/Followup"
10,94,"20140729","Routine - Unscheduled"
10,,"20140124","Reinspection/Followup"
10,92,"20140114","Routine - Unscheduled"
10,98,"20121114","Routine - Unscheduled"
10,,"20120920","Reinspection/Followup"
17,,"20140425","Reinspection/Followup"
17,94,"20140312","Routine - Unscheduled"
17,,"20130711","Reinspection/Followup"
17,94,"20130605","Routine - Unscheduled"
17,,"20120906","Reinspection/Followup"
17,100,"20120823","Routine - Unscheduled"
19,94,"20141110","Routine - Unscheduled"
19,94,"20140214","Routine - Unscheduled"
19,96,"20130904","Routine - Unscheduled"
19,100,"20121127","Routine - Unscheduled"
24,96,"20141124","Routine - Unscheduled"
24,96,"20140612","Routine - Unscheduled"
24,100,"20131118","Routine - Unscheduled"
24,100,"20121018","Routine - Unscheduled"
29,,"20140820","Reinspection/Followup"
29,86,"20140814","Routine - Unscheduled"
29,,"20140814","Complaint"
29,87,"20131001","Routine - Unscheduled"
29,87,"20121228","Routine - Unscheduled"
31,100,"20140908","Routine - Unscheduled"
31,100,"20121217","Routine - Unscheduled"
31,,"20121130","Non-inspection site visit"
45,94,"20140909","Routine - Unscheduled"
45,94,"20131209","Routine - Unscheduled"
45,96,"20121126","Routine - Unscheduled"
48,92,"20140523","Routine - Unscheduled"
48,90,"20131101","Routine - Unscheduled"
48,90,"20130327","Routine - Unscheduled"
50,,"20150513","Non-inspection site visit"
50,100,"20140402","Routine - Unscheduled"
50,100,"20131002","Routine - Unscheduled"
50,,"20130409","Reinspection/Followup"
50,96,"20130328","Routine - Unscheduled"
50,100,"20121015","Routine - Unscheduled"
54,100,"20150526","Routine - Unscheduled"
54,92,"20140325","Routine - Unscheduled"
54,96,"20131008","Routine - Unscheduled"
54,96,"20130326","Routine - Unscheduled"
56,98,"20141117","Routine - Unscheduled"
56,,"20140912","Non-inspection site visit"
56,100,"20140423","Routine - Unscheduled"
56,94,"20131021","Routine - Unscheduled"
56,,"20130724","Complaint"
56,94,"20130327","Routine - Unscheduled"
56,98,"20120927","Routine - Unscheduled"
58,,"20140908","Non-inspection site visit"
58,,"20140805","Reinspection/Followup"
58,78,"20140725","Routine - Unscheduled"
58,,"20131011","Reinspection/Followup"
58,80,"20131001","Routine - Unscheduled"
58,,"20130207","Reinspection/Followup"
58,100,"20130207","Routine - Unscheduled"
61,94,"20140530","Routine - Unscheduled"
61,92,"20131028","Routine - Unscheduled"
61,96,"20130329","Routine - Unscheduled"
66,98,"20141119","Routine - Unscheduled"
66,91,"20140519","Routine - Unscheduled"
66,98,"20140210","Routine - Unscheduled"
66,100,"20130808","Routine - Unscheduled"
66,100,"20130201","Routine - Unscheduled"
67,90,"20150520","Routine - Unscheduled"
67,,"20140318","Reinspection/Followup"
67,94,"20140205","Routine - Unscheduled"
67,,"20131025","Complaint"
67,,"20130805","Reinspection/Followup"
67,98,"20130801","Routine - Unscheduled"
67,,"20130131","Reinspection/Followup"
67,90,"20130129","Routine - Unscheduled"
67,,"20121004","Reinspection/Followup"
67,93,"20120927","Routine - Unscheduled"
71,100,"20140624","Routine - Unscheduled"
73,,"20150720","Reinspection/Followup"
73,85,"20150717","Routine - Unscheduled"
73,92,"20140522","Routine - Unscheduled"
73,92,"20131220","Routine - Unscheduled"
73,92,"20130524","Routine - Unscheduled"
76,100,"20141124","Routine - Unscheduled"
76,96,"20140612","Routine - Unscheduled"
76,98,"20131118","Routine - Unscheduled"
76,100,"20121018","Routine - Unscheduled"
77,96,"20141124","Routine - Unscheduled"
77,94,"20140612","Routine - Unscheduled"
77,100,"20131118","Routine - Unscheduled"
77,100,"20121018","Routine - Unscheduled"
80,100,"20140520","Routine - Unscheduled"
80,86,"20131204","Routine - Unscheduled"
80,100,"20130328","Routine - Unscheduled"
80,100,"20120914","Routine - Unscheduled"
81,,"20150504","Reinspection/Followup"
81,96,"20150330","Routine - Unscheduled"
81,,"20150316","Non-inspection site visit"
81,92,"20140210","Routine - Unscheduled"
81,,"20130517","Reinspection/Followup"
81,96,"20130417","Routine - Unscheduled"
81,,"20121114","Reinspection/Followup"
81,86,"20121024","Routine - Unscheduled"
85,,"20150729","Reinspection/Followup"
85,76,"20150727","Routine - Unscheduled"
85,,"20140805","Reinspection/Followup"
85,,"20140611","Reinspection/Followup"
85,88,"20140603","Routine - Unscheduled"
85,,"20130919","Reinspection/Followup"
85,86,"20130909","Routine - Unscheduled"
85,,"20121218","Reinspection/Followup"
85,82,"20121211","Routine - Unscheduled"
88,,"20141110","Reinspection/Followup"
88,,"20141024","Reinspection/Followup"
88,,"20141017","Reinspection/Followup"
